# MNE-Annotations
# orig_time : 2013-09-13 23:30:16.087428   
# onset, duration, description
0.0,480.0,Wake
0.0,480.0,Wake
480.0,30.0,S1
480.0,30.0,S1
510.0,60.0,Wake
510.0,60.0,Wake
570.0,180.0,S1
570.0,180.0,S1
750.0,30.0,Wake
750.0,30.0,Wake
780.0,90.0,S1
780.0,90.0,S1
870.0,30.0,Wake
870.0,30.0,Wake
900.0,120.0,S1
900.0,120.0,S1
1030.515,1.055,SO
1087.395,1.045,SO
1168.095,0.73,SO
1245.505,0.555,SO
1308.72,0.68,SO
1309.4,0.855,SO
1324.245,0.555,SO
1341.79777533039,0.50220264317181,SO
1377.26,0.61,SO
1387.80878854625,0.42290748898699,SO
1410.0,30.0,S3
1410.0,30.0,S3
1414.935,0.72,SO
1420.515,1.065,SO
1427.085,1.17,SO
1440.0,30.0,S2
1440.0,30.0,S2
1446.28,0.575,SO
1447.05,0.895,SO
1470.0,90.0,S3
1470.0,90.0,S3
1472.955,0.76,SO
1473.715,1.0,SO
1473.715,1.0,SO
1477.295,0.82,SO
1484.845,0.62,SO
1485.705,0.845,SO
1510.16,0.87,SO
1516.38,1.06,SO
1531.095,1.005,SO
1535.52,0.895,SO
1535.52,0.895,SO
1535.52,0.895,SO
1560.0,30.0,S2
1560.0,30.0,S2
1564.07,1.065,SO
1590.0,60.0,S3
1590.0,60.0,S3
1593.875,0.7,SO
1616.255,0.84,SO
1616.255,0.84,SO
1633.785,0.905,SO
1633.785,0.905,SO
1637.27,1.29,SO
1638.56,1.3,SO
1638.56,1.3,SO
1638.56,1.3,SO
1640.85,0.55,SO
1644.89,1.375,SO
1648.535,0.98,SO
1650.0,60.0,S2
1650.0,60.0,S2
1672.65,0.77,SO
1674.795,1.59,SO
1674.795,1.59,SO
1674.795,1.59,SO
1679.76,0.79,SO
1682.71,0.855,SO
1683.955,0.94,SO
1689.04,1.49,SO
1689.04,1.49,SO
1689.04,1.49,SO
1689.04,1.49,SO
1696.895,0.89,SO
1706.225,0.64,SO
1710.0,270.0,S3
1710.0,270.0,S3
1713.97,0.865,SO
1716.72,1.145,SO
1716.72,1.145,SO
1725.29,0.775,SO
1740.385,1.395,SO
1742.505,0.885,SO
1742.505,0.885,SO
1745.275,1.875,SO
1745.275,1.875,SO
1747.15,0.58,SO
1747.935,0.84,SO
1749.02,0.58,SO
1749.85,0.76,SO
1750.86,0.83,SO
1764.12,1.26,SO
1769.935,1.28,SO
1774.92,0.595,SO
1776.505,1.02,SO
1790.33,1.25,SO
1793.18,0.715,SO
1802.395,0.825,SO
1803.705,1.09,SO
1805.06,1.01,SO
1806.325,1.28,SO
1810.375,0.91,SO
1815.9,0.815,SO
1819.515,1.29,SO
1820.805,1.365,SO
1826.6,0.95,SO
1830.905,0.81,SO
1833.38,0.69,SO
1834.85,0.875,SO
1835.725,0.99,SO
1836.715,1.125,SO
1839.115,1.15,SO
1840.265,1.16,SO
1843.95,1.08,SO
1851.365,0.77,SO
1853.105,0.785,SO
1860.34,0.975,SO
1861.315,0.65,SO
1861.965,1.18,SO
1861.965,1.18,SO
1867.455,0.84,SO
1869.955,0.985,SO
1873.555,0.995,SO
1873.555,0.995,SO
1878.16,1.695,SO
1886.02,1.665,SO
1886.02,1.665,SO
1887.685,0.775,SO
1889.845,0.93,SO
1890.775,0.84,SO
1892.525,0.915,SO
1893.97,1.165,SO
1893.97,1.165,SO
1895.135,1.015,SO
1895.135,1.015,SO
1898.115,1.4,SO
1901.285,0.64,SO
1902.17,0.915,SO
1902.17,0.915,SO
1905.615,0.925,SO
1908.805,1.31,SO
1908.805,1.31,SO
1912.08,0.945,SO
1913.025,0.76,SO
1916.86,0.655,SO
1921.55,0.635,SO
1925.125,0.97,SO
1929.46,0.765,SO
1930.225,2.0,SO
1930.225,2.0,SO
1930.225,2.0,SO
1933.79,1.13,SO
1943.38,0.775,SO
1948.465,1.62,SO
1948.465,1.62,SO
1948.465,1.62,SO
1950.085,1.32,SO
1951.405,0.92,SO
1953.04,1.175,SO
1953.04,1.175,SO
1954.215,0.835,SO
1955.35,0.705,SO
1956.705,1.83,SO
1956.705,1.83,SO
1959.0,0.92,SO
1960.92,0.97,SO
1960.92,0.97,SO
1964.16,0.635,SO
1964.795,0.515,SO
1969.265,0.855,SO
1980.0,60.0,S4
1980.0,60.0,S4
1980.515,1.05,SO
1984.695,0.775,SO
1985.99,0.785,SO
1986.775,0.89,SO
1988.095,0.955,SO
1989.545,0.75,SO
1990.725,0.63,SO
1994.325,0.675,SO
1995.655,1.055,SO
1996.71,1.235,SO
1996.71,1.235,SO
1997.945,1.285,SO
1997.945,1.285,SO
2006.01,0.825,SO
2007.075,0.865,SO
2017.315,0.95,SO
2018.755,1.365,SO
2022.055,1.69,SO
2022.055,1.69,SO
2022.055,1.69,SO
2024.43,0.975,SO
2025.99,0.715,SO
2027.06,0.96,SO
2028.465,0.86,SO
2032.505,1.24,SO
2034.005,0.86,SO
2034.005,0.86,SO
2034.865,0.805,SO
2039.025,1.665,SO
2039.025,1.665,SO
2040.0,60.0,S3
2040.0,60.0,S3
2040.69,0.635,SO
2042.055,1.375,SO
2043.66,0.72,SO
2045.43,1.365,SO
2047.84,1.0,SO
2049.1,0.75,SO
2060.17,0.935,SO
2061.67,1.195,SO
2061.67,1.195,SO
2064.21,0.57,SO
2065.955,0.85,SO
2070.71,0.635,SO
2074.305,1.285,SO
2074.305,1.285,SO
2075.59,0.615,SO
2081.87,0.565,SO
2089.815,0.975,SO
2093.285,0.94,SO
2094.52,0.72,SO
2094.52,0.72,SO
2095.55,1.145,SO
2099.405,0.78,SO
2100.0,210.0,S4
2100.0,210.0,S4
2100.185,0.83,SO
2100.185,0.83,SO
2100.185,0.83,SO
2120.875,1.14,SO
2122.015,0.985,SO
2123.46,1.09,SO
2126.43,0.81,SO
2126.43,0.81,SO
2128.04,0.705,SO
2132.34,1.18,SO
2135.56,0.715,SO
2146.6,0.9,SO
2148.54,1.54,SO
2148.54,1.54,SO
2152.77,0.635,SO
2157.695,1.115,SO
2161.46,0.595,SO
2162.055,0.84,SO
2162.895,0.77,SO
2163.935,0.73,SO
2165.06,0.905,SO
2167.335,0.625,SO
2170.025,0.505,SO
2170.79,1.295,SO
2170.79,1.295,SO
2172.485,0.8,SO
2174.935,0.8,SO
2176.235,0.595,SO
2183.28,0.805,SO
2184.085,0.75,SO
2184.085,0.75,SO
2185.4,0.77,SO
2186.17,1.01,SO
2189.26,0.93,SO
2190.19,1.13,SO
2191.755,0.805,SO
2193.43,1.115,SO
2198.7,1.145,SO
2200.595,0.685,SO
2204.85,0.63,SO
2208.715,0.975,SO
2210.52,1.665,SO
2210.52,1.665,SO
2212.845,0.95,SO
2212.845,0.95,SO
2215.07,1.055,SO
2216.38,1.32,SO
2217.7,0.845,SO
2217.7,0.845,SO
2221.435,1.235,SO
2221.435,1.235,SO
2226.84,1.005,SO
2226.84,1.005,SO
2228.09,0.87,SO
2228.09,0.87,SO
2230.525,1.345,SO
2232.315,0.87,SO
2233.185,0.815,SO
2234.0,0.58,SO
2234.82,0.965,SO
2234.82,0.965,SO
2237.89,1.115,SO
2239.165,1.12,SO
2239.165,1.12,SO
2242.095,0.88,SO
2244.375,0.59,SO
2244.965,1.03,SO
2247.535,0.975,SO
2248.51,1.255,SO
2251.09,1.405,SO
2251.09,1.405,SO
2252.85,1.125,SO
2255.07,1.0,SO
2256.07,0.59,SO
2260.305,1.095,SO
2260.305,1.095,SO
2269.12,0.535,SO
2271.055,1.705,SO
2272.76,1.1,SO
2274.08,0.825,SO
2278.93,1.42,SO
2281.66,1.19,SO
2282.85,0.73,SO
2284.185,0.67,SO
2285.87,1.075,SO
2287.245,1.965,SO
2290.87,1.51,SO
2293.695,1.195,SO
2293.695,1.195,SO
2295.14,0.595,SO
2298.475,1.155,SO
2299.935,0.625,SO
2301.22,0.88,SO
2303.32,0.985,SO
2305.41,1.175,SO
2310.0,60.0,S3
2310.0,60.0,S3
2316.625,1.45,SO
2319.53,0.695,SO
2320.225,1.285,SO
2320.225,1.285,SO
2320.225,1.285,SO
2322.945,1.105,SO
2324.37,0.53,SO
2325.39,0.675,SO
2326.49,2.965,SO
2326.49,2.965,SO
2326.49,2.965,SO
2326.49,2.965,SO
2329.455,0.545,SO
2343.525,1.81,SO
2343.525,1.81,SO
2345.705,0.645,SO
2346.35,1.295,SO
2346.35,1.295,SO
2347.645,2.085,SO
2347.645,2.085,SO
2347.645,2.085,SO
2347.645,2.085,SO
2350.025,0.57,SO
2353.505,1.455,SO
2354.96,0.71,SO
2356.055,1.7,SO
2365.735,0.605,SO
2367.325,0.675,SO
2370.0,60.0,S2
2370.0,60.0,S2
2382.19,1.07,SO
2403.35,1.17,SO
2414.52,1.27,SO
2430.0,30.0,Wake
2430.0,30.0,Wake
2460.0,60.0,S1
2460.0,60.0,S1
2487.205,1.07,SO
2518.33,1.345,SO
2518.33,1.345,SO
2520.0,330.0,S2
2520.0,330.0,S2
2537.18,0.945,SO
2538.125,0.68,SO
2539.405,0.605,SO
2548.885,0.76,SO
2607.905,1.14,SO
2622.16,1.15,SO
2633.695,0.625,SO
2667.535,0.755,SO
2706.79,1.185,SO
2727.235,0.645,SO
2752.12,0.65,SO
2766.555,0.79,SO
2777.605,1.05,SO
2797.205,0.65,SO
2797.855,3.115,SO
2797.855,3.115,SO
2797.855,3.115,SO
2797.855,3.115,SO
2797.855,3.115,SO
2797.855,3.115,SO
2797.855,3.115,SO
2797.855,3.115,SO
2814.3,1.13,SO
2816.03,0.725,SO
2816.755,0.79,SO
2836.08,1.215,SO
2836.08,1.215,SO
2850.0,420.0,S3
2850.0,420.0,S3
2857.63,0.595,SO
2860.895,0.565,SO
2873.905,0.935,SO
2876.715,0.84,SO
2878.85,1.015,SO
2881.44,1.505,SO
2896.84,1.015,SO
2896.84,1.015,SO
2898.36,0.725,SO
2899.92,1.155,SO
2903.135,0.995,SO
2906.115,0.925,SO
2907.345,0.96,SO
2909.11,1.04,SO
2909.11,1.04,SO
2911.14,1.775,SO
2911.14,1.775,SO
2916.765,0.735,SO
2934.36,0.89,SO
2934.36,0.89,SO
2945.88,1.08,SO
2949.15,0.865,SO
2950.015,1.01,SO
2964.715,1.265,SO
2964.715,1.265,SO
2965.98,1.19,SO
2967.17,1.735,SO
2967.17,1.735,SO
2967.17,1.735,SO
2967.17,1.735,SO
2969.68,0.725,SO
2970.405,1.275,SO
2973.51,1.875,SO
2973.51,1.875,SO
2973.51,1.875,SO
2983.16,1.115,SO
2983.16,1.115,SO
2987.16,0.6,SO
2989.15,0.99,SO
2989.15,0.99,SO
2990.625,0.845,SO
2997.865,1.9,SO
2997.865,1.9,SO
2997.865,1.9,SO
3000.365,1.255,SO
3000.365,1.255,SO
3000.365,1.255,SO
3008.84,1.15,SO
3008.84,1.15,SO
3011.52,0.795,SO
3011.52,0.795,SO
3012.88,1.0,SO
3017.56,1.405,SO
3021.25,0.89,SO
3041.44,0.94,SO
3046.15,1.0,SO
3049.77,0.825,SO
3052.145,0.785,SO
3054.4,1.57,SO
3054.4,1.57,SO
3055.97,1.28,SO
3058.38,1.17,SO
3058.38,1.17,SO
3065.23,1.43,SO
3075.51,1.005,SO
3077.43,0.895,SO
3079.61,0.99,SO
3084.415,0.59,SO
3087.795,1.105,SO
3087.795,1.105,SO
3088.9,0.965,SO
3090.115,0.775,SO
3090.89,1.13,SO
3090.89,1.13,SO
3098.585,1.1,SO
3106.13,1.56,SO
3106.13,1.56,SO
3107.69,0.8,SO
3109.81,0.655,SO
3109.81,0.655,SO
3111.615,0.87,SO
3112.485,1.11,SO
3112.485,1.11,SO
3114.605,1.37,SO
3114.605,1.37,SO
3114.605,1.37,SO
3123.53,0.715,SO
3124.245,1.425,SO
3124.245,1.425,SO
3125.67,1.27,SO
3125.67,1.27,SO
3126.94,0.79,SO
3127.73,0.965,SO
3129.63,0.76,SO
3131.77,1.01,SO
3132.78,0.895,SO
3132.78,0.895,SO
3137.78,0.82,SO
3139.975,0.55,SO
3142.22,0.625,SO
3142.845,0.965,SO
3142.845,0.965,SO
3145.945,0.875,SO
3151.365,0.84,SO
3153.185,0.83,SO
3155.23,0.775,SO
3157.19,0.99,SO
3157.19,0.99,SO
3158.66,0.89,SO
3158.66,0.89,SO
3159.765,1.095,SO
3166.02,1.465,SO
3166.02,1.465,SO
3171.705,0.745,SO
3172.45,1.225,SO
3174.28,1.85,SO
3174.28,1.85,SO
3174.28,1.85,SO
3176.13,1.05,SO
3177.18,1.305,SO
3180.055,1.22,SO
3181.275,0.815,SO
3187.515,1.495,SO
3189.01,0.925,SO
3190.325,0.955,SO
3200.14,1.355,SO
3200.14,1.355,SO
3202.115,1.185,SO
3202.115,1.185,SO
3205.585,0.775,SO
3207.055,1.48,SO
3207.055,1.48,SO
3210.085,1.21,SO
3210.085,1.21,SO
3210.085,1.21,SO
3211.785,1.31,SO
3215.595,0.815,SO
3215.595,0.815,SO
3219.485,0.995,SO
3223.685,1.08,SO
3223.685,1.08,SO
3225.355,0.76,SO
3226.56,0.8,SO
3227.64,0.805,SO
3228.975,0.725,SO
